datetime,department,name
 2018/05/02 15:00 ,人文学院,东京语言景观探究
 2018/05/04 18:00 ,,基于深度学习的3D车辆检测研究与实现
 2018/05/04 15:03 ,计算机学院,交通路况预测系统的设计与实现
 2018/05/04 12:19 ,人文学院,讲述北邮的故事
 2018/05/04 11:09 ,计算机学院,TensorFlow深度学习应用实践
 2018/05/04 11:07 ,计算机学院,基于『时间、效率和分享』的手机APP的设计与实现
 2018/05/04 10:36 ,经济管理学院,贵州省长顺县农产品产销及电商发展的投融资分析
 2018/05/04 10:24 ,,基于能源互联的可重构能耗控制研究与调度实现
 2018/05/07 15:12 ,,区块链技术在供应链管理的应用研究
 2018/05/07 09:56 ,计算机学院,消防机器队员设计与实现
 2018/05/06 13:28 ,计算机学院,高校学生就餐推荐系统
 2018/05/06 13:26 ,计算机学院,最优旅游景点推荐系统
 2018/05/05 12:23 ,叶培大创新创业学院,利用食堂剩余垃圾制造有机肥料
 2018/05/05 10:01 ,,医药供应链的集中采购策略研究
 2018/05/05 09:45 ,,智慧物流场景下的基于多式联运的快递网络结构与运输路线的综合优化研究
 2018/05/05 09:18 ,,新零售供应链管理的数学建模研究
 2018/05/04 20:52 ,国际学院,Earphone Sharing信号共享耳机
 2018/05/04 19:00 ,数字媒体与设计艺术学院,北京白云观文创产品设计
 2018/05/01 20:07 ,,基于计算机视觉的智能可穿戴导盲装备（二期）
 2018/05/01 17:49 ,现代邮政学院（原自动化）,快递物流业绿色配送路径优化研究
 2018/05/01 11:54 ,马克思主义学院,（雏雁项目）新时代高校思想政治理论课教学评价问题研究——以北京部分大学为例
 2018/05/02 13:20 ,电子工程学院,实验设备远程管理系统
 2018/05/02 12:44 ,信息与通信工程学院,微腔集成的微纳光纤传感器结构设计及实验研究
 2018/05/04 10:23 ,,软件定义网络的可见光定位研究及实现
 2018/05/04 09:55 ,信息与通信工程学院,网络状态评估可视化系统研究
 2018/05/04 09:41 ,,基于软件定义的光与无线融合研究
 2018/05/04 09:39 ,,基于区块链的物联网认证平台
 2018/05/04 09:25 ,人文学院,社交媒体的情感交际模式研究
 2018/05/04 09:06 ,信息与通信工程学院,车联网OBU终端调测
 2018/05/04 08:49 ,信息与通信工程学院,校园卡私人区块链平台探索
 2018/05/03 22:16 ,计算机学院,编程过程数据采集插件
 2018/05/03 22:10 ,计算机学院,手机抢答器
 2018/05/03 21:25 ,,毕加索机器人
 2018/05/03 20:48 ,,基于计算机视觉的空巢老人关怀系统
 2018/05/03 19:31 ,经济管理学院,基于蒙特卡罗模拟实验的面板数据理论解析与认识
 2018/05/03 19:21 ,电子工程学院,无人感知系统的电路设计
 2018/05/10 17:45 ,,婴幼儿啼哭声纹采集、分类、智能识别系统
 2018/05/10 10:28 ,其他,基于移动端的馆际互借地图导航系统设计与实现
 2018/05/09 20:20 ,,传统模式和智能模式下的机械臂混合控制研究
 2018/05/09 20:17 ,,变胞六足机器人
 2018/05/09 20:15 ,,基于“折纸”的软体机器人
 2018/05/09 20:12 ,,可变形移动机器人
 2018/05/08 14:38 ,人文学院,智能菜单系统的研究
 2018/05/08 09:20 ,信息与通信工程学院,基于人工智能物联网的场景型共享商城购物平台设计与开发
 2018/05/07 16:28 ,电子工程学院,区块链的协作信誉增强技术
 2018/05/23 15:20 ,信息与通信工程学院,一个天文气候观测的物联网教学实验项目
 2018/05/22 16:19 ,网络空间安全学院,基于区块链的电子投票系统设计与实现
 2018/05/22 16:10 ,图书馆,开发文检课题库及简单的人机交互
 2018/05/22 14:16 ,其他,基于BALIS平台的北京地区高校大学生阅读行为研究
 2018/05/22 13:52 ,经济管理学院,微信公众号发布内容的关联性分析
 2018/05/22 13:30 ,经济管理学院,移动社交网络微信朋友圈用户知识传播行为研究
 2018/05/21 16:33 ,其他,面向毕业生的学术信息素养教育模式的调查与研究
 2018/05/21 15:23 ,自动化学院,一种舞蹈机器人的设计与实现
 2018/05/21 15:20 ,自动化学院,武术擂台机器人的设计与实现（II）
 2018/05/20 08:54 ,其他,光影世界里的图书馆-视频制作
 2018/05/14 10:56 ,,基于时间距离与游览偏好的旅游规划软件的开发
 2018/05/14 10:40 ,,运动中的学习与测验系统的开发
 2018/05/13 23:22 ,,基于人脸识别的课堂考勤系统
 2018/05/13 23:18 ,,基于图像识别的校园卡自动招领机
 2018/05/11 15:56 ,理学院,网格方程解存在性研究
 2018/05/11 13:22 ,计算机学院,具有社交功能的多媒体日记本
 2018/05/11 10:06 ,理学院,音乐配器自动评估的探索
 2018/05/11 09:01 ,理学院,高维度的量子信息传输的研究
 2018/05/10 21:54 ,信息与通信工程学院,“星际漫步”——VR卫星通信
 2018/05/10 17:46 ,,针对物理系统生成随机数序列的智能分析
 2018/05/17 10:51 ,,作业会（Homework+）
 2018/05/17 09:08 ,叶培大创新创业学院,邮我为你——电脑族
 2018/05/16 20:03 ,数字媒体与设计艺术学院,剪辑在线教育课程制作
 2018/05/16 15:55 ,数字媒体与设计艺术学院,基于After Effects的表情包制作与研究
 2018/05/16 15:53 ,数字媒体与设计艺术学院,基于After Effects的系列科普动画制作
 2018/05/16 08:55 ,感知技术与产业研究院,基于深度学习的光场图像深度估计
 2018/05/15 10:20 ,其他,“悦读书院”读书报告评阅系统功能优化设计及实现
 2018/05/15 10:17 ,其他,基于我校学生文学经典阅读行为的阅读文化建设初探
 2018/05/14 12:28 ,,基于音视频传输的智能眼镜开发
 2018/05/14 11:01 ,其他,基于生态管理的资产管理系统
 2018/05/19 23:23 ,国际学院,制作以宠物为主题的社交APP
 2018/05/19 23:05 ,信息与通信工程学院,新闻事理追踪
 2018/05/19 22:48 ,信息与通信工程学院,基于单张图像的人脸重光照
 2018/05/18 17:04 ,其他,图书馆电子资源宣传推广VI设计体系
 2018/05/18 16:42 ,人文学院,基于新媒体的日语教学交流平台的构建与实践
 2018/05/18 15:12 ,叶培大创新创业学院,基于手绘漫画的知识产权普法宣传
 2018/05/18 14:43 ,叶培大创新创业学院,北邮创客先锋访谈录
 2018/05/17 16:11 ,信息与通信工程学院,DeepLook：基于深度学习的室内人体活动监控系统
 2018/05/17 15:36 ,,机械臂模拟人类抛发乒乓球以及击球动作
 2018/05/17 11:12 ,叶培大创新创业学院,基于创客文化的北邮WIN文创产品设计与开发
 2018/06/09 22:35 ,理学院,拉格朗日数学类慕课平台
 2018/06/09 22:18 ,,基于大数据的情绪及身体心理压力状态评估方法及系统
 2018/06/09 21:38 ,电子工程学院,雷达感应灯的设计与开发
 2018/06/09 21:10 ,理学院,高维度量子远程操控的研究
 2018/06/09 13:26 ,,厨房智能机器人
 2018/06/07 16:39 ,理学院,截面对半导体纳米线光学性质的影响
 2018/06/07 08:20 ,图书馆,红色主题阅读社群建设??
